chr,region_start,region_end,name
chr16,89882942,89883025,FANCA_Exon1_NM000135
chr17,7575663,7575803,LoH_TP53_9
chr17,7578811,7578907,LoH_TP53_13
chr17,11924201,11924320,MAP2K4_Exon1_NM001281435
chr17,16056650,16056711,NCOR1_Exon7_NM006311
chr17,17942776,17943218,GID4_Exon1_NM024052
chr17,29422325,29422389,NF1_Exon1_NM000267
chr17,37847691,37847831,ERBB2_Intron2_Amp1
chr17,57986416,57986555,RPS6KB1_Intron1_Amp10
chr17,57986685,57986825,RPS6KB1_Intron1_Amp11
chr17,57994695,57994834,RPS6KB1_Intron3_Amp4
chr18,23253187,23253228,iIndel_chr18_1
chr18,56338873,56339086,MALT1_Exon1_NM006785
chr19,3094647,3094787,GNA11_Exon1_NM002067
chr19,5173979,5174093,PTPRS_Flanking2
chr19,5229499,5229697,PTPRS_Exon15_NM002850
chr19,7293800,7293904,INSR_Exon1_NM000208
chr19,10290860,10290912,DNMT1_Exon5_NM001130823
chr19,15288333,15288903,NOTCH3_Exon24_NM000435
chr19,15311596,15311700,NOTCH3_Exon1_Additional1
chr19,18272086,18272307,PIK3R2_Exon6_NM005027
chr19,30302399,30302539,CCNE1_Flanking3_Amp1
chr19,30303460,30303487,CCNE1_Exon2_NM001238
chr19,33792604,33793427,CEBPA_Exon1_Additional2
chr19,36208918,36209285,KMT2B_Exon1_NM014727
chr19,45870946,45871086,ERCC2_Intron4_Amp1
chr19,45875128,45875268,ERCC2_Flanking4_Amp1
chr19,47731412,47731705,BBC3_Exon2_NM001127240
chr20,30946576,30946637,ASXL1_Exon1_NM001164603
chr20,39657705,39657742,TOP1_Exon1_NM003286
chr20,41818283,41818375,PTPRT_Exon1_NM007050
chr20,57464340,57464410,GNAS_Exon1_Additional2
chr20,57466423,57466726,GNAS_Exon1_Additional3
chr21,15634845,15634886,iIndel_chr21_1
chr21,42880005,42880087,TMPRSS2_Exon1_NM005656
chr21,45660684,45660702,ICOSLG_Exon1_NM001283050
chr22,22221609,22221732,MAPK1_Exon1_NM002745
chr22,29117503,29117621,CHEK2_Exon5_NM001257387
chr22,29119749,29119889,CHEK2_Intron4_Amp1
chrX,44732795,44732960,KDM6A_Exon1_NM001291415
chrX,77041465,77041489,ATRX_Exon1_NM000489
chrY,2812945,2813084,chrY_Flanking1_Amp1
chrY,21082122,21082261,chrY_Flanking26_Amp1
chrY,21726275,21726356,chrY_Flanking31_Amp1
chrY,21904584,21904723,chrY_Flanking33_Amp1
chrY,22651250,22651389,chrY_Flanking36_Amp1
chrY,22981258,22981397,chrY_Flanking38_Amp1
